Date,MXN=X,COP=X,BRL=X,CLP=X
2024-04-10,16.383310317993164,3765.25,5.007599830627441,941.0900268554688
2024-04-11,16.452499389648438,3802.25,5.066199779510498,947.489990234375
2024-04-12,16.42609977722168,3822.25,5.090400218963623,954.8599853515625
2024-04-15,16.611080169677734,3813.10009765625,5.117099761962891,964.1300048828125
2024-04-16,16.694400787353516,3884.25,5.183700084686279,972.2999877929688
2024-04-17,17.033340454101562,3921.5,5.2855000495910645,979.9600219726562
2024-04-18,16.956300735473633,3890.39990234375,5.232600212097168,978.4299926757812
2024-04-19,17.074960708618164,3926.64990234375,5.241700172424316,965.6900024414062
2024-04-22,17.091999053955078,3912.6201171875,5.206200122833252,958.6400146484375
2024-04-23,17.136980056762695,3909.85009765625,5.1656999588012695,952.1300048828125
2024-04-24,16.949199676513672,3903.199951171875,5.130499839782715,953.2000122070312
